id,properties/icon,properties/name,properties/language/longitude,properties/language/pk,properties/language/name,properties/language/id,properties/language/latitude,type,geometry/coordinates/0,geometry/coordinates/1,geometry/type
UMBUNDU_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Umbundu 2,15,914,Umbundu 2,UMBUNDU_2,-12.5,Feature,15,-12.5,Point
UPPER_POKOMO,http://asjp.clld.org/clld-static/icons/cff6600.png,Upper Pokomo,40,915,Upper Pokomo,UPPER_POKOMO,-1.25,Feature,40,-1.25,Point
VALANGI,http://asjp.clld.org/clld-static/icons/cff6600.png,Valangi,36,916,Valangi,VALANGI,-4.5,Feature,36,-4.5,Point
VARAMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Varama,10.75,917,Varama,VARAMA,-2.5,Feature,10.75,-2.5,Point
VENDA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Venda 2,30,918,Venda 2,VENDA_2,-22,Feature,30,-22,Point
VENDA,http://asjp.clld.org/clld-static/icons/cff6600.png,Venda,30,919,Venda,VENDA,-22,Feature,30,-22,Point
VILI,http://asjp.clld.org/clld-static/icons/cff6600.png,Vili,12,920,Vili,VILI,-4.67,Feature,12,-4.67,Point
VINZA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Vinza 2,30.75,921,Vinza 2,VINZA_2,-5,Feature,30.75,-5,Point
VIRA,http://asjp.clld.org/clld-static/icons/cff6600.png,Vira,29,922,Vira,VIRA,-3.5,Feature,29,-3.5,Point
VUMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Vumba,39,923,Vumba,VUMBA,-6.5,Feature,39,-6.5,Point
VUNGU,http://asjp.clld.org/clld-static/icons/cff6600.png,Vungu,11.33,924,Vungu,VUNGU,-2.5,Feature,11.33,-2.5,Point
VUTE_MBANJO,http://asjp.clld.org/clld-static/icons/cff6600.png,Vute Mbanjo,12.17,925,Vute Mbanjo,VUTE_MBANJO,5.17,Feature,12.17,5.17,Point
VUTE_YOKO,http://asjp.clld.org/clld-static/icons/cff6600.png,Vute Yoko,12.17,926,Vute Yoko,VUTE_YOKO,5.17,Feature,12.17,5.17,Point
WAWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Wawa,11.75,927,Wawa,WAWA,6.83,Feature,11.75,6.83,Point
WONGO_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Wongo 1,20.5,928,Wongo 1,WONGO_1,-5.75,Feature,20.5,-5.75,Point
WONGO_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Wongo 2,20.5,929,Wongo 2,WONGO_2,-5.75,Feature,20.5,-5.75,Point
WUMBVU,http://asjp.clld.org/clld-static/icons/cff6600.png,Wumbvu,12.25,930,Wumbvu,WUMBVU,-2.42,Feature,12.25,-2.42,Point
WUMBVU_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Wumbvu 2,12.25,931,Wumbvu 2,WUMBVU_2,-2.42,Feature,12.25,-2.42,Point
WUSHI,http://asjp.clld.org/clld-static/icons/cff6600.png,Wushi,10.6,932,Wushi,WUSHI,6.07,Feature,10.6,6.07,Point
XEBIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Xebia,12.33,933,Xebia,XEBIA,-1.17,Feature,12.33,-1.17,Point
XEBOBE,http://asjp.clld.org/clld-static/icons/cff6600.png,Xebobe,12.33,934,Xebobe,XEBOBE,-1.17,Feature,12.33,-1.17,Point
XEHIMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Xehimba,11.13,935,Xehimba,XEHIMBA,-1.28,Feature,11.13,-1.28,Point
XEPINZIPINZI,http://asjp.clld.org/clld-static/icons/cff6600.png,Xepinzipinzi,11.25,936,Xepinzipinzi,XEPINZIPINZI,-1.97,Feature,11.25,-1.97,Point
XETSOXO,http://asjp.clld.org/clld-static/icons/cff6600.png,Xetsoxo,11.33,937,Xetsoxo,XETSOXO,-1.5,Feature,11.33,-1.5,Point
XHOSA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Xhosa 2,27,938,Xhosa 2,XHOSA_2,-32,Feature,27,-32,Point
XHOSA,http://asjp.clld.org/clld-static/icons/cff6600.png,Xhosa,27,939,Xhosa,XHOSA,-32,Feature,27,-32,Point
YABA_MBETI,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaba Mbeti,14,940,Yaba Mbeti,YABA_MBETI,-0.5,Feature,14,-0.5,Point
YAKA_PELENDE,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaka Pelende,17.5,941,Yaka Pelende,YAKA_PELENDE,-7,Feature,17.5,-7,Point
YAKA_SUD,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaka Sud,17.5,942,Yaka Sud,YAKA_SUD,-7,Feature,17.5,-7,Point
YAKA_axk,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaka Axk,16.25,943,Yaka Axk,YAKA_axk,2.67,Feature,16.25,2.67,Point
YAKA_yaf,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaka Yaf,17.5,944,Yaka Yaf,YAKA_yaf,-7,Feature,17.5,-7,Point
YAKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaka,17.5,945,Yaka,YAKA,-7,Feature,17.5,-7,Point
YAKA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Yaka 2,17.5,946,Yaka 2,YAKA_2,-7,Feature,17.5,-7,Point
YAMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Yamba,11.08,947,Yamba,YAMBA,6.42,Feature,11.08,6.42,Point
YAMBETA,http://asjp.clld.org/clld-static/icons/cff6600.png,Yambeta,10.97,948,Yambeta,YAMBETA,5.03,Feature,10.97,5.03,Point
YANZ_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Yanz 1,18,949,Yanz 1,YANZ_1,-3.83,Feature,18,-3.83,Point
YANZ_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Yanz 2,18,950,Yanz 2,YANZ_2,-3.83,Feature,18,-3.83,Point
YANZ_3,http://asjp.clld.org/clld-static/icons/cff6600.png,Yanz 3,18,951,Yanz 3,YANZ_3,-3.83,Feature,18,-3.83,Point
YANZ_KIBONGO,http://asjp.clld.org/clld-static/icons/cff6600.png,Yanz Kibongo,18,952,Yanz Kibongo,YANZ_KIBONGO,-3.83,Feature,18,-3.83,Point
YANZ_KIYEY,http://asjp.clld.org/clld-static/icons/cff6600.png,Yanz Kiyey,18,953,Yanz Kiyey,YANZ_KIYEY,-3.83,Feature,18,-3.83,Point
YANZ_KUMAKUMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Yanz Kumakuma,18,954,Yanz Kumakuma,YANZ_KUMAKUMA,-3.83,Feature,18,-3.83,Point
YAO_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Yao 1,35.5,955,Yao 1,YAO_1,-14.5,Feature,35.5,-14.5,Point
YAO_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Yao 2,35.5,956,Yao 2,YAO_2,-14.5,Feature,35.5,-14.5,Point
YEMBA_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Yemba 1,10.08,957,Yemba 1,YEMBA_1,5.42,Feature,10.08,5.42,Point
YEMBA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Yemba 2,10.08,958,Yemba 2,YEMBA_2,5.42,Feature,10.08,5.42,Point
YIPUNU,http://asjp.clld.org/clld-static/icons/cff6600.png,Yipunu,11.33,959,Yipunu,YIPUNU,-2.5,Feature,11.33,-2.5,Point
ZAAMBO,http://asjp.clld.org/clld-static/icons/cff6600.png,Zaambo,12.2,960,Zaambo,ZAAMBO,9.5,Feature,12.2,9.5,Point
